"No.","Time","Source","Destination","Protocol","Length","Info"
"791","7.931626","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x76aa A lDqoR16q.reddshrimpandherring.com"
"793","7.947216","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xcdd5 A lDqoR16q.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"795","7.958549","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x5d2d A lDqoR16q.reddshrimpandherring.com.windomain.local"
"797","7.968981","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xc847 A 1Th0dQuT.reddshrimpandherring.com"
"799","8.050527","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x21a5 A 1Th0dQuT.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"801","8.062385","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc006 A 1Th0dQuT.reddshrimpandherring.com.windomain.local"
"803","8.073001","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x4249 A ysnuBebx.reddshrimpandherring.com"
"805","8.143556","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb326 A ysnuBebx.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"807","8.156879","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xc91b A ysnuBebx.reddshrimpandherring.com.windomain.local"
"809","8.167511","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6a22 A OKm0XI7q.reddshrimpandherring.com"
"829","8.181651","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xb5aa A OKm0XI7q.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"861","8.193159","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x9e3d A OKm0XI7q.reddshrimpandherring.com.windomain.local"
"893","8.203642","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xda95 A j/RVIHi2.reddshrimpandherring.com"
"985","8.227737","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x9c1b A j/RVIHi2.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1017","8.238926","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xa0ed A j/RVIHi2.reddshrimpandherring.com.windomain.local"
"1057","8.249253","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x483a A d+KVXhMV.reddshrimpandherring.com"
"1096","8.261573","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x49d8 A d+KVXhMV.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1137","8.272877","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x65df A d+KVXhMV.reddshrimpandherring.com.windomain.local"
"1178","8.283337","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x2a2a A ky0+eTqU.reddshrimpandherring.com"
"1315","8.327573","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xa842 A ky0+eTqU.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1365","8.339771","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x8c1a A ky0+eTqU.reddshrimpandherring.com.windomain.local"
"1403","8.350972","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x35a3 A poybMrsl.reddshrimpandherring.com"
"1444","8.363480","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x31e5 A poybMrsl.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1491","8.374996","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xb29a A poybMrsl.reddshrimpandherring.com.windomain.local"
"1523","8.387406","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x5a3d A jK2eAyOi.reddshrimpandherring.com"
"1525","8.430761","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x0197 A jK2eAyOi.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1527","8.450895","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xab28 A jK2eAyOi.reddshrimpandherring.com.windomain.local"
"1529","8.461733","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x0c17 A 48b4iU01.reddshrimpandherring.com"
"1531","8.474391","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xaeba A 48b4iU01.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1533","8.485660","192.168.38.104","8.8.8.8","DNS","109","Standard query 0xcd31 A 48b4iU01.reddshrimpandherring.com.windomain.local"
"1535","8.496584","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6d73 A FvJnCBT8.reddshrimpandherring.com"
"1537","8.510444","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xf7db A FvJnCBT8.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1539","8.521657","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x834f A FvJnCBT8.reddshrimpandherring.com.windomain.local"
"1543","8.532222","192.168.38.104","8.8.8.8","DNS","93","Standard query 0xcbc7 A km29WP3g.reddshrimpandherring.com"
"1548","8.578968","192.168.38.104","8.8.8.8","DNS","131","Standard query 0xf136 A km29WP3g.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
"1554","8.591066","192.168.38.104","8.8.8.8","DNS","109","Standard query 0x582f A km29WP3g.reddshrimpandherring.com.windomain.local"
"1556","8.601450","192.168.38.104","8.8.8.8","DNS","93","Standard query 0x6a81 A /3Dz6rCU.reddshrimpandherring.com"
"1558","8.623613","192.168.38.104","8.8.8.8","DNS","131","Standard query 0x9474 A /3Dz6rCU.reddshrimpandherring.com.us-west-1.ec2-utilities.amazonaws.com"
